,C2ch1Watt,C2ch2Watt,C2ch3Watt,C2totalPositiveWattHour,C2temp1,C2temp2,C2temp3,C2temp4,C2e.flowRate,C2e.flowSpeed,C2e.totalFlowRate,C2c.flowRate,C2c.flowSpeed,C2c.totalFlowRate
2017-05-01 00:00:00,350.52542372881356,0.0,375.3898305084746,0.0,18.287023043156832,21.633606640210647,23.48767623483822,23.300044288059507,0.0,0.0,0.0,0.0,0.0,0.0
2017-05-01 01:00:00,342.31666666666666,0.0,358.4166666666667,700.0,16.90488211284388,21.685053887719178,23.44495183402598,23.3030705936376,0.0,0.0,0.0,0.0,0.0,0.0
2017-05-01 02:00:00,341.6166666666667,0.0,348.73333333333335,1400.0,16.06018067553499,21.697159268074188,23.399201022273896,23.308945196115246,0.0,0.0,0.0,0.0,0.0,0.0
2017-05-01 03:00:00,337.51666666666665,0.0,344.8833333333333,2100.0,15.969390981383299,21.694132751772592,23.294703500894038,23.174184671635295,0.0,0.0,0.0,0.0,0.0,0.0
2017-05-01 04:00:00,333.1166666666667,0.0,339.55,2800.0,15.803833217044062,21.687902289980467,23.209788198496486,23.0627446010682,0.0,0.0,0.0,0.0,0.0,0.0
2017-05-01 05:00:00,332.71666666666664,0.0,337.6,3500.0,15.684711112267763,21.690415574013013,23.12748319598187,22.975231679699476,0.0,0.0,0.0,0.0,0.0,0.0
2017-05-01 06:00:00,334.06666666666666,0.0,340.5,4100.0,15.601959417001527,21.700541696371165,23.04868086184467,22.964833927603703,0.0,0.0,0.0,0.0,0.0,0.0
2017-05-01 07:00:00,336.8448275862069,0.0,342.4655172413793,4800.0,15.693762883171898,21.7516060896345,23.066836025553627,23.057965280424312,0.0,0.0,0.0,0.0,0.0,0.0
2017-05-01 08:00:00,339.1166666666667,0.0,345.6166666666667,5500.0,15.741882561925767,21.9008133656258,23.314463939278404,23.3755241295569,0.0,0.0,0.0,0.0,0.0,0.0
2017-05-01 09:00:00,335.875,0.0,343.2142857142857,6200.0,15.928001581690603,22.042198769850387,23.77616931901329,23.776932326237553,0.0,0.0,0.0,0.0,0.0,0.0
2017-05-01 10:00:00,337.6333333333333,0.0,346.0,6900.0,16.091334090794017,22.184219829045443,24.393616450593793,24.22734644081684,0.0,0.0,0.0,0.0,0.0,0.0
2017-05-01 11:00:00,337.3,0.0,345.21666666666664,7500.0,16.186040133916595,22.335536003525227,24.996745413136356,24.709244328662926,0.0,0.0,0.0,0.0,0.0,0.0
2017-05-01 12:00:00,339.4166666666667,0.0,347.6666666666667,8200.0,16.268372658170655,22.470320846033083,25.575639772854682,25.253394660719742,0.0,0.0,0.0,0.0,0.0,0.0
2017-05-01 13:00:00,341.03333333333336,0.0,349.0,8900.0,16.37545269428962,22.654012652621763,26.154760246927005,25.820796263306363,0.0,0.0,0.0,0.0,0.0,0.0
2017-05-01 14:00:00,340.45,0.0,350.21666666666664,9600.0,16.427790406637953,22.82580087875313,26.683833279358016,26.36713734921756,0.0,0.0,0.0,0.0,0.0,0.0
2017-05-01 15:00:00,342.728813559322,0.0,351.20338983050846,10300.0,16.408857070500623,22.94753291464625,27.159165979164655,26.79600668467809,0.0,0.0,0.0,0.0,0.0,0.0
2017-05-01 16:00:00,342.8,0.0,354.45,11000.0,16.521784520408065,23.078410207675237,27.504679867952216,27.173564602678134,0.0,0.0,0.0,0.0,0.0,0.0
2017-05-01 17:00:00,342.95,0.0,351.23333333333335,11700.0,16.590143962082287,23.178457196005912,27.680918995898914,27.347132968275943,0.0,0.0,0.0,0.0,0.0,0.0
2017-05-01 18:00:00,340.56666666666666,0.0,349.31666666666666,12400.0,16.56557744741952,23.211390434646127,27.67451047274735,27.354075833548418,0.0,0.0,0.0,0.0,0.0,0.0
2017-05-01 19:00:00,342.23333333333335,0.0,350.01666666666665,13100.0,16.442031838454785,23.212102680083852,27.56057812263783,27.310638976574957,0.0,0.0,0.0,0.0,0.0,0.0
2017-05-01 20:00:00,342.8333333333333,0.0,351.48333333333335,13800.0,16.500864557259153,23.297178567385217,27.392367079202895,27.174264838575603,0.0,0.0,0.0,0.0,0.0,0.0
2017-05-01 21:00:00,344.48333333333335,0.0,354.06666666666666,14500.0,16.485112520028512,23.329239239088277,27.21717904688315,27.08455452118413,0.0,0.0,0.0,0.0,0.0,0.0
2017-05-01 22:00:00,341.18333333333334,0.0,350.45,15200.0,16.45085740750108,23.414969162829824,27.050725111204535,26.94898241120724,0.0,0.0,0.0,0.0,0.0,0.0
2017-05-01 23:00:00,339.9824561403509,0.0,348.57894736842104,15900.0,16.45796152702474,23.45153871827299,26.8901330758778,26.877978889416422,0.0,0.0,0.0,0.0,0.0,0.0
2017-05-02 00:00:00,341.9166666666667,0.0,350.01666666666665,16500.0,16.35960923704666,23.512599030262486,26.76928276583386,26.783168285655332,0.0,0.0,0.0,0.0,0.0,0.0
2017-05-02 01:00:00,341.28333333333336,0.0,349.01666666666665,17200.0,16.33130411868718,23.514913459168987,26.56865486849862,26.622950834353688,0.0,0.0,0.0,0.0,0.0,0.0
2017-05-02 02:00:00,339.8666666666667,0.0,348.6,17900.0,16.238021934269558,23.56333461182293,26.292903305065675,26.471100528476498,0.0,0.0,0.0,0.0,0.0,0.0
2017-05-02 03:00:00,340.0,0.0,348.59322033898303,18600.0,16.223602177688925,23.606771416115514,26.15120007335587,26.382980911822262,0.0,0.0,0.0,0.0,0.0,0.0
2017-05-02 04:00:00,339.78333333333336,0.0,347.93333333333334,19300.0,16.207224589048533,23.6932887966201,26.069133015176966,26.27545724290695,0.0,0.0,0.0,0.0,0.0,0.0
2017-05-02 05:00:00,334.21666666666664,0.0,341.5833333333333,20000.0,16.153284851274062,23.70503789621362,25.988490237150042,26.089783338911484,0.0,0.0,0.0,0.0,0.0,0.0
2017-05-02 06:00:00,336.76666666666665,0.0,343.6333333333333,20700.0,16.188354194056963,23.712158664802907,25.890757941130236,25.945588038382734,0.0,0.0,0.0,0.0,0.0,0.0
2017-05-02 07:00:00,339.4,0.0,346.76666666666665,21400.0,16.17446899032075,23.715007014383318,25.862452717409006,25.905355442985055,0.0,0.0,0.0,0.0,0.0,0.0
2017-05-02 08:00:00,345.3666666666667,0.0,369.68333333333334,22000.0,16.331735590237354,23.847103349123323,25.97645457145131,26.092136738272465,0.0,0.0,0.0,0.0,0.0,0.0
2017-05-02 09:00:00,346.52542372881356,0.0,373.52542372881356,22800.0,16.141647008332363,23.997906605633514,26.296345919923652,26.370208882666667,0.0,0.0,0.0,0.0,0.0,0.0
2017-05-02 10:00:00,345.5,0.0,372.53333333333336,23500.0,16.131509136353177,24.164279310973587,26.690281310487567,26.758169994071896,0.0,0.0,0.0,0.0,0.0,0.0
2017-05-02 11:00:00,349.46666666666664,0.0,380.3,24200.0,16.21772789129654,24.267934526762875,27.14241097669561,27.12603317733171,0.0,0.0,0.0,0.0,0.0,0.0
