,C1temp2,C1Coolingcap,C1 O_F,C2temp2,C2temp3,C2Coolingcap,C2 O_F,C3temp2,C3Coolingcap,C3 O_F,C4temp2,C4temp4,C4Coolingcap,C4 O_F,humidity,fan1,fan2,fan3,fan4,powersum
2017-05-30 22:00:00,26.667633699396177,0.0,True,26.34310449182432,28.15338216037707,0.0,True,25.815277730866704,0.2944162215592886,False,25.433782585304037,28.16388504117808,0.0,False,82.44214753846153,0.05546930000000001,0.18997252615384616,0.14749677076923076,0.19258925538461538,1363.5057471171021
2017-05-30 23:00:00,26.669591900222066,0.0,True,26.337586170108178,28.06277021149957,0.0,True,25.812251214565112,0.3025613257882783,False,25.438233118353207,28.060278142680637,0.0,False,83.83230335,0.054128438999999966,0.1897321416666666,0.14618334733333352,0.1942715936666666,1351.4367816075683
2017-05-31 00:00:00,26.681697385938833,0.0,True,26.383871165938555,27.980881425403606,0.0,True,25.832545573623385,0.30244709966816424,False,25.452296436129743,27.95809494484552,0.0,False,85.05327943333333,0.05403669599999997,0.18455357099999992,0.14225712400000018,0.1892386513333333,1339.7701149433851
2017-05-31 01:00:00,26.739197402646198,0.0,True,26.438166921070138,27.88119077051531,0.0,True,25.825958883750637,0.29230131748739197,False,25.53689795337445,27.861225453527148,0.0,False,84.34767678333336,0.054678898166666635,0.19008928483333323,0.14545288733333353,0.19225841800000001,1354.9425287470222
2017-05-31 02:00:00,26.763764075351578,0.0,True,26.44297347147644,27.821732447620295,0.0,True,25.88844361758549,0.29864897597175444,False,25.53738958916322,27.742869756378948,0.0,False,85.60908928333336,0.05412843933333332,0.18687499883333322,0.1457268093333335,0.1904282565,1345.405323639512
2017-05-31 03:00:00,26.761627918528024,0.0,True,26.437632736991848,27.770818910062193,0.0,True,25.888087547547503,0.2846062836999839,False,25.540772175502806,27.662405197754072,0.0,False,91.75707636666672,0.05330275149999998,0.18794642783333335,0.1440832745000002,0.18997071633333332,1333.8475499078631
2017-05-31 04:00:00,26.76465438214875,0.0,True,26.438522991108133,27.688929860561863,0.0,True,25.908737871282018,0.2802217555262117,False,25.612870220873752,27.598852148443502,0.0,False,92.21103225,0.05385321016666665,0.18687499949999983,0.14499634933333352,0.1928074653333333,1331.264367826283
2017-05-31 05:00:00,26.76732440696536,0.0,True,26.43852293842726,27.604014821568676,0.0,True,25.919240962806516,0.25831801780156527,False,25.643667197328647,27.49328662767319,0.0,False,91.79982733898304,0.05355310118644067,0.18305084694915244,0.14058263661016965,0.18686254457627116,1336.2643678113818
2017-05-31 06:00:00,26.767858380320153,0.0,True,26.439413139862666,27.570369021405465,0.0,True,25.90677967045615,0.23414079903531618,False,25.634054254558684,27.447001842566294,0.0,True,92.82291891666667,0.05266054916666665,0.18660714216666657,0.1426223538333335,0.19125182883333328,24478.349753700197
2017-05-31 07:00:00,26.769104651793555,0.0,True,25.288518916618695,29.49333245250909,19.71914139383132,True,25.93098990435742,0.20881121296776187,False,24.70995631069627,28.058675801169258,21.13649582359689,True,93.07393003333337,0.04678899099999999,24.643035719500006,0.14015704950000013,26.13680453183334,293871.1121062711
2017-05-31 08:00:00,26.865591097786968,0.0,True,16.12640396038567,34.47769277241867,55.37210411352595,True,26.059550223725747,0.2446664055556855,False,16.03116362782304,30.958252949843047,74.27814319159138,True,90.00127156666663,0.03990825799999999,58.88410715500001,0.1328524458333335,60.08272325666673,359853.8374687955
2017-05-31 09:00:00,27.00462404127579,0.0,True,13.507563355676645,33.9005544466482,51.7949438176188,True,26.19460359494275,0.023300096259625057,False,13.417663336151604,30.58405626546298,66.295558664746,True,89.22967369999999,0.041467891166666646,58.88383929666668,0.1336742131666668,60.08638357333341,335125.6251375824
2017-05-31 10:00:00,27.101053276731218,0.0,True,13.085835509354526,33.71790690091173,51.108461524112386,True,26.277237540416017,-0.24680758272034845,False,13.019968715988853,30.40835142695635,62.714188680881406,True,85.24706904999998,0.040091744499999984,57.90142858166667,0.13111760300000017,59.08656659166674,325014.0692640543
2017-05-31 11:00:00,27.229640339233537,0.0,True,12.913404455107306,34.174511028894116,51.35228922143416,True,26.41413437976216,-0.27248287089315154,False,12.80990609528567,30.886866939186348,60.80367268577082,True,80.39597156666666,0.04211009366666665,57.90267858333335,0.1331263701666668,59.08821374166673,321925.09740261734
2017-05-31 12:00:00,27.40231897752382,0.0,True,12.952677273705088,34.47288627469326,51.75099889535729,True,26.552633455257958,0.15723662337226207,False,12.833404557877115,31.19127979637847,60.4611533703268,True,79.12896419999998,0.043027524499999976,58.88500001333334,0.13458728883333348,60.09407026666669,330223.2359307185
2017-05-31 13:00:00,27.52377337270211,0.0,True,13.107197920484143,34.607646641130586,50.81526340196656,True,26.68267790650317,0.8048350014607111,False,13.010711579852495,31.327642715050715,61.623363603278804,True,77.28236825,0.044770643499999964,58.88589287166668,0.1348612116666668,60.09571741666671,332848.54978355765
2017-05-31 14:00:00,27.613627764338634,0.0,True,13.112894725006731,34.69523238979175,50.50279713026735,True,26.81076100053445,0.9035980388211118,False,13.066253501095732,31.418432461883285,62.79701934573665,True,78.05956106666665,0.0433944973333333,56.923035728333346,0.13148283383333348,58.09224011000003,336455.8441558257
2017-05-31 15:00:00,27.74108951155074,0.0,True,13.124465763240822,34.71267797782263,49.87733656111775,True,26.962789683856354,0.45068957302370777,False,13.109690252707448,31.430537736876545,63.29839912629011,True,77.3692174,0.04532110266666664,58.885535728333345,0.13650474800000015,60.09809663000002,334021.39555361867
2017-05-31 16:00:00,27.768504375793942,0.0,True,13.055038164133503,34.294333086606215,50.84289423255557,True,27.085978748655194,0.07610961613883864,False,13.020858443296387,30.964661472994596,62.10933468448705,True,80.83136235000002,0.04412844166666665,58.88446429833334,0.13486121250000016,60.0942532866667,321107.6054736078
