,C1ch1Watt,C1ch2Watt,C1ch3Watt,C1PositiveWattHour,C1temp1,C1temp2,C1temp3,C1temp4,C1t2-t1,C1t3-t4,C1e.flowRate,C1e.flowSpeed,C1c.flowRate,C1c.flowSpeed,C1Coolingcap,C1 O_F,C2ch1Watt,C2ch2Watt,C2ch3Watt,C2PositiveWattHour,C2temp1,C2temp2,C2temp3,C2temp4,C2t2-t1,C2t3-t4,C2e.flowRate,C2e.flowSpeed,C2c.flowRate,C2c.flowSpeed,C2Coolingcap,C2 O_F,C3ch1Watt,C3ch2Watt,C3ch3Watt,C3PositiveWattHour,C3temp1,C3temp2,C3temp3,C3temp4,C3t2-t1,C3t3-t4,C3e.flowRate,C3e.flowSpeed,C3c.flowRate,C3c.flowSpeed,C3Coolingcap,C3 O_F,C4ch1Watt,C4ch2Watt,C4ch3Watt,C4PositiveWattHour,C4temp1,C4temp2,C4temp3,C4temp4,C4t2-t1,C4t3-t4,C4e.flowRate,C4e.flowSpeed,C4c.flowRate,C4c.flowSpeed,C4Coolingcap,C4 O_F,powersum,temp,humidity,fan1,fan2,fan3,fan4
30/5/17 22:00,352.2758621,0,349.6551724,705.1724138,23.67281653,26.6676337,28.19521647,28.15569627,2.994817165,0.039520192,0,0,0,0,0,TRUE,335.8333333,0,322.8333333,658.3333333,23.22901445,26.34310449,28.15338216,28.21942696,3.114090039,-0.066044802,0,0,0,0,0,TRUE,0,0,0,0,23.11419216,25.81527773,28.32267821,28.03695737,2.701085566,0.28572084,1.561334475,0.02326007,0,0,0.294416222,FALSE,0,0,0,0,22.78930715,25.43378259,28.20536354,28.16388504,2.644475435,0.041478498,0,0,6.148022016,0.052901038,0,FALSE,1363.505747,25.96175858,82.44214754,0.0554693,0.189972526,0.147496771,0.192589255
30/5/17 23:00,352.3448276,0,349.0517241,693.1034483,23.70503779,26.6695919,28.07950398,28.05066499,2.964554109,0.028838986,0,0,0,0,0,TRUE,335.5333333,0,323.15,658.3333333,23.29612746,26.33758617,28.06277021,28.10852108,3.041458705,-0.045750864,0,0,0,0,0,TRUE,0,0,0,0,23.17881306,25.81225121,28.22352174,27.94064899,2.633438159,0.282872753,1.645746146,0.024517598,0,0,0.302561326,FALSE,0,0,0,0,22.84947756,25.43823312,28.0941019,28.06027814,2.588755558,0.033823756,0,0,6.500456723,0.055933584,0,FALSE,1351.436782,25.88216217,83.83230335,0.054128439,0.189732142,0.146183347,0.194271594
31/5/17 00:00,347.2931034,0,343.7241379,693.1034483,23.72479812,26.68169739,27.98657839,27.95595868,2.956899262,0.030619705,0,0,0,0,0,TRUE,330.95,0,318.3333333,646.6666667,23.32087236,26.38387117,27.98088143,28.0431881,3.062998809,-0.062306672,0,0,0,0,0,TRUE,0,0,0,0,23.22474198,25.83254557,28.11920233,27.83615173,2.607803593,0.283050604,1.661296314,0.024749257,0,0,0.3024471,FALSE,0,0,0,0,22.91730303,25.45229644,27.97429489,27.95809494,2.534993407,0.016199949,0,0,6.695657818,0.057613204,0,FALSE,1339.770115,25.78259708,85.05327943,0.054036696,0.184553571,0.142257124,0.189238651
31/5/17 01:00,348.1034483,0,343.9310345,698.2758621,23.78852892,26.7391974,27.92605149,27.86944151,2.950668484,0.056609973,0,0,0,0,0,TRUE,331.4,0,317.8166667,656.6666667,23.34098871,26.43816692,27.88119077,27.96325762,3.097178214,-0.082066847,0,0,0,0,0,TRUE,0,0,0,0,23.2720955,25.82595888,28.02111386,27.76725853,2.553863381,0.253855337,1.639478284,0.024424222,0,0,0.292301317,FALSE,0,0,0,0,22.9538693,25.53689795,27.91209659,27.86122545,2.583028654,0.050871136,0,0,6.438930353,0.055404176,0,FALSE,1354.942529,26.04740471,84.34767678,0.054678898,0.190089285,0.145452887,0.192258418
31/5/17 02:00,350.2931034,0,347.3103448,693.738657,23.80811119,26.76376408,27.85217362,27.77188696,2.955652885,0.080286655,0,0,0,0,0,TRUE,333.95,0,320.8333333,651.6666667,23.40649969,26.44297347,27.82173245,27.89881474,3.036473777,-0.077082288,0,0,0,0,0,TRUE,0,0,0,0,23.28188603,25.88844362,27.93103594,27.69551655,2.606557584,0.235519389,1.641217967,0.024450139,0,0,0.298648976,FALSE,0,0,0,0,23.02233421,25.53738959,27.80873697,27.74286976,2.515055381,0.065867215,0,0,6.101498715,0.052500725,0,FALSE,1345.405324,26.25047688,85.60908928,0.054128439,0.186874999,0.145726809,0.190428257
31/5/17 03:00,346.6666667,0,344.0175439,683.8475499,23.89765488,26.76162792,27.79752163,27.68252123,2.863973042,0.115000402,0,0,0,0,0,TRUE,330.5333333,0,318.4666667,650,23.42875225,26.43763274,27.77081891,27.80731253,3.008880483,-0.036493623,0,0,0,0,0,TRUE,0,0,0,0,23.32799302,25.88808755,27.85858219,27.59368963,2.560094527,0.26489256,1.592432527,0.023723355,0,0,0.284606284,FALSE,0,0,0,0,23.05882815,25.54077218,27.70869019,27.6624052,2.481944029,0.046284996,0,0,5.921110344,0.050948562,0,FALSE,1333.84755,25.44944177,91.75707637,0.053302751,0.187946428,0.144083275,0.189970716
31/5/17 04:00,345.8448276,0,343.2586207,687.9310345,23.90495365,26.76465438,27.74180181,27.61540801,2.859700729,0.126393801,0,0,0,0,0,TRUE,329.5166667,0,317.4166667,643.3333333,23.51526948,26.43852299,27.68892986,27.71420867,2.923253515,-0.025278813,0,0,0,0,0,TRUE,0,0,0,0,23.33190969,25.90873787,27.73752918,27.51571735,2.576828186,0.221811826,1.557718378,0.023206199,0,0,0.280221756,FALSE,0,0,0,0,23.08837943,25.61287022,27.64549311,27.59885215,2.52449079,0.046640961,0,0,6.110903549,0.052581649,0,FALSE,1331.264368,25.25310893,92.21103225,0.05385321,0.186874999,0.144996349,0.192807465
31/5/17 05:00,344.2586207,0,343.5689655,687.9310345,23.97455889,26.76732441,27.65955664,27.55221119,2.792765514,0.10734545,0,0,0,0,0,TRUE,328.3833333,0,317.1333333,648.3333333,23.56084233,26.43852294,27.60401482,27.6508339,2.877680606,-0.046819075,0,0,0,0,0,TRUE,0,0,0,0,23.40080315,25.91924096,27.70512955,27.43685445,2.51843781,0.268275094,1.469251102,0.021888253,0,0,0.258318018,FALSE,0,0,0,0,23.13270617,25.6436672,27.56627466,27.49328663,2.510961024,0.072988036,0,0,6.541770633,0.056289072,0,FALSE,1336.264368,25.42967728,91.79982734,0.053553101,0.183050847,0.140582637,0.186862545
31/5/17 06:00,341.8275862,0,340.6896552,686.2068966,23.94554195,26.76785838,27.58407664,27.48207171,2.82231643,0.102004926,0,0,0,0,0,TRUE,325.7666667,0,315.2333333,10610,23.54998343,26.43941314,27.57036902,27.56609671,2.889429706,0.004272314,0,0,0,0,0,TRUE,0,0,0,0,23.45278469,25.90677967,27.62270694,27.40926174,2.45399498,0.213445207,1.366708774,0.020360623,0,0,0.234140799,FALSE,0,0,0,13182.14286,23.13697854,25.63405425,27.51518328,27.44700184,2.497075715,0.068181433,0,0,6.82996223,0.058768834,0,TRUE,24478.34975,25.45351083,92.82291892,0.052660549,0.186607142,0.142622354,0.191251829
31/5/17 07:00,341.1034483,0,347.7413793,693.1034483,24.03704363,26.76910465,27.55167695,27.45608086,2.732061025,0.095596087,0,0,0,0,0,TRUE,19468.45,18115.81667,19048.65,124618.3333,22.28871714,25.28851892,29.49333245,28.12863732,2.999801777,1.364695132,94.16033601,1.402759017,83.41699491,0.717766707,19.71914139,TRUE,0,0,0,0,23.47770733,25.9309899,27.58532275,27.3177598,2.453282577,0.267562953,1.219210792,0.018163263,0,0,0.208811213,FALSE,26166.80357,24920.375,24653.32143,168559.6753,21.48068807,24.70995631,29.87375981,28.0586758,3.229268239,1.815084008,93.75650801,1.396742946,93.2359359,0.802254398,21.13649582,TRUE,293871.1121,25.34854153,93.07393003,0.046788991,24.64303572,0.14015705,26.13680453
