ts,gatewayId,attr,value
"2017-09-01 00:00:01",19,ts4,82.917525
"2017-09-01 00:01:00",19,ts4,83.161669
"2017-09-01 00:02:00",19,ts4,83.009079
"2017-09-01 00:03:00",19,ts4,83.070115
"2017-09-01 00:04:00",19,ts4,83.070115
"2017-09-01 00:05:00",19,ts4,82.978561
"2017-09-01 00:06:00",19,ts4,83.100633
"2017-09-01 00:07:00",19,ts4,83.039597
"2017-09-01 00:08:00",19,ts4,83.283742
"2017-09-01 00:09:00",19,ts4,83.283742
"2017-09-01 00:10:00",19,ts4,83.222705
"2017-09-01 00:11:00",19,ts4,83.161669
"2017-09-01 00:12:00",19,ts4,83.192187
"2017-09-01 00:13:00",19,ts4,83.588922
"2017-09-01 00:14:00",19,ts4,82.673381
"2017-09-01 00:15:00",19,ts4,83.192187
"2017-09-01 00:16:00",19,ts4,82.978561
"2017-09-01 00:17:00",19,ts4,83.039597
"2017-09-01 00:18:00",19,ts4,83.283742
"2017-09-01 00:19:00",19,ts4,83.802548
"2017-09-01 00:20:00",19,ts4,83.497368
"2017-09-01 00:21:00",19,ts4,82.795453
"2017-09-01 00:22:00",19,ts4,82.734417
"2017-09-01 00:23:00",19,ts4,83.161669
"2017-09-01 00:24:00",19,ts4,83.787289
"2017-09-01 00:25:00",19,ts4,83.649958
"2017-09-01 00:26:00",19,ts4,82.99382
"2017-09-01 00:27:00",19,ts4,83.100633
"2017-09-01 00:28:00",19,ts4,83.070115
"2017-09-01 00:29:00",19,ts4,82.673381
"2017-09-01 00:30:00",19,ts4,82.887007
"2017-09-01 00:31:00",19,ts4,82.612345
"2017-09-01 00:32:00",19,ts4,82.429236
"2017-09-01 00:33:00",19,ts4,82.322423
"2017-09-01 00:34:00",19,ts4,82.307164
"2017-09-01 00:35:00",19,ts4,82.429236
"2017-09-01 00:36:00",19,ts4,82.673381
"2017-09-01 00:37:00",19,ts4,82.429236
"2017-09-01 00:38:00",19,ts4,82.21561
"2017-09-01 00:39:00",19,ts4,82.06302
"2017-09-01 00:40:00",19,ts4,82.307164
"2017-09-01 00:41:00",19,ts4,82.124056
"2017-09-01 00:42:00",19,ts4,81.879911
"2017-09-01 00:43:00",19,ts4,82.246128
"2017-09-01 00:44:00",19,ts4,81.940948
"2017-09-01 00:45:00",19,ts4,81.696803
"2017-09-01 00:46:00",19,ts4,81.361105
"2017-09-01 00:47:00",19,ts4,81.757839
"2017-09-01 00:48:00",19,ts4,82.001984
"2017-09-01 00:49:00",19,ts4,81.757839
"2017-09-01 00:50:00",19,ts4,81.971466
